# version: 1_001
#2018-02-07 10:46:13.337861
         Name                                                                            update 
 S0-71         unknown                                                                          
 S0-68         unknown                                                                          
 S0-69         unknown                                                                          
 S0-9          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-72         unknown                                                                          
 S0-12         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-13         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-31         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-73         unknown                                                                          
 S0-75         unknown                                                                          
 S0-74         unknown                                                                          
 S0-76         unknown                                                                          
 S0-78         unknown                                                                          
 S0-77         unknown                                                                          
 S0-79         unknown                                                                          
 S0-80         unknown                                                                          
 S0-83         unknown                                                                          
 S0-81         unknown                                                                          
 S0-82         unknown                                                                          
 S0-14         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-84         unknown                                                                          
 S0-33         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-85         unknown                                                                          
 S0-32         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-86         unknown                                                                          
 S0-87         unknown                                                                          
 S0-88         unknown                                                                          
 S0-90         unknown                                                                          
 S0-91         unknown                                                                          
 S0-35         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-89         unknown                                                                          
 S0-36         unknown                                                                          
 S0-92         unknown                                                                          
 S0-93         unknown                                                                          
 S1-5          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-95         unknown                                                                          
 S0-94         unknown                                                                          
 S1-3          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-96         unknown                                                                          
 S0-97         unknown                                                                          
 S1-26         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-15         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S0-98         unknown                                                                          
 S0-100        unknown                                                                          
 S0-101        unknown                                                                          
 S0-108        /g/ghez/align/17_04_25
 S1-69         unknown                                                                          
 S0-99         unknown                                                                          
 S1-2          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-70         unknown                                                                          
 S1-71         unknown                                                                          
 S1-72         unknown                                                                          
 S1-74         unknown                                                                          
 S1-1          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-27         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-75         unknown                                                                          
 S1-76         unknown                                                                          
 S1-4          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-8          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-29         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-10         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-28         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-30         unknown                                                                          
 S1-77         unknown                                                                          
 S1-31         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-78         unknown                                                                          
 S1-79         unknown                                                                          
 S1-32         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-80         unknown                                                                          
 S1-81         unknown                                                                          
 irs16C        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-7          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-83         unknown                                                                          
 S1-6          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 irs16NW       /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-85         unknown                                                                          
 S1-92         unknown                                                                          
 S1-33         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-84         unknown                                                                          
 S1-87         unknown                                                                          
 S1-88         unknown                                                                          
 S1-93         unknown                                                                          
 S1-90         unknown                                                                          
 S1-86         unknown                                                                          
 S1-94         unknown                                                                          
 S1-95         unknown                                                                          
 S1-98         unknown                                                                          
 S1-12         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-96         unknown                                                                          
 S1-99         unknown                                                                          
 S1-97         unknown                                                                          
 S1-100        unknown                                                                          
 S1-101        unknown                                                                          
 S1-34         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-36         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-102        unknown                                                                          
 S1-103        unknown                                                                          
 S1-104        unknown                                                                          
 S1-14         unknown                                                                          
 S1-105        unknown                                                                          
 S1-106        unknown                                                                          
 S1-107        unknown                                                                          
 S1-37         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-38         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-108        unknown                                                                          
 S1-175        /g/ghez/align/17_04_25
 S1-15         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-113        unknown                                                                          
 S1-110        unknown                                                                          
 irs16SW       /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-112        unknown                                                                          
 S1-114        unknown                                                                          
 S1-115        unknown                                                                          
 S1-39         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-118        unknown                                                                          
 S1-13         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-116        unknown                                                                          
 S1-41         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-117        unknown                                                                          
 S1-120        unknown                                                                          
 S1-121        unknown                                                                          
 S1-119        unknown                                                                          
 S1-40         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-123        unknown                                                                          
 S1-122        unknown                                                                          
 S1-42         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-124        unknown                                                                          
 S1-125        unknown                                                                          
 S1-17         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-126        unknown                                                                          
 S1-46         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-127        unknown                                                                          
 S1-50         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-43         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-21         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-22         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-44         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-47         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-129        unknown                                                                          
 S1-20         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-48         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-128        unknown                                                                          
 S1-51         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-53         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-45         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-52         unknown                                                                          
 S1-54         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-18         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-19         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-132        unknown                                                                          
 S1-55         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-133        unknown                                                                          
 S1-49         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-134        unknown                                                                          
 S1-56         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-23         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-57         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-135        unknown                                                                          
 S1-59         unknown                                                                          
 S1-58         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-25         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-137        unknown                                                                          
 S1-136        unknown                                                                          
 S1-138        unknown                                                                          
 S1-60         unknown                                                                          
 S1-24         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-140        unknown                                                                          
 S1-139        unknown                                                                          
 S1-61         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-141        unknown                                                                          
 S1-142        unknown                                                                          
 S1-143        unknown                                                                          
 S1-62         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-63         unknown                                                                          
 S1-145        unknown                                                                          
 S1-144        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-148        unknown                                                                          
 S1-146        unknown                                                                          
 S1-150        unknown                                                                          
 S1-149        unknown                                                                          
 S1-147        unknown                                                                          
 S1-151        unknown                                                                          
 S1-171        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-154        unknown                                                                          
 S1-152        unknown                                                                          
 S1-153        unknown                                                                          
 S1-156        unknown                                                                          
 S1-155        unknown                                                                          
 S1-157        unknown                                                                          
 S1-158        unknown                                                                          
 S1-66         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-160        unknown                                                                          
 S1-64         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-159        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-161        unknown                                                                          
 S1-68         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-67         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-65         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-162        unknown                                                                          
 S1-163        unknown                                                                          
 S1-164        unknown                                                                          
 S1-166        unknown                                                                          
 S1-168        unknown                                                                          
 S1-169        unknown                                                                          
 S1-170        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-165        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S1-167        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-33         unknown                                                                          
 S2-12         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-89         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-88         unknown                                                                          
 S2-90         unknown                                                                          
 S2-93         unknown                                                                          
 S2-91         unknown                                                                          
 S2-94         unknown                                                                          
 S2-96         unknown                                                                          
 S2-99         unknown                                                                          
 S2-36         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-95         unknown                                                                          
 S2-98         unknown                                                                          
 S2-100        unknown                                                                          
 S2-97         unknown                                                                          
 S2-11         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-102        unknown                                                                          
 S2-7          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 irs29N        unknown                                                                          
 irs16CC       /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 irs29S        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-3          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-105        unknown                                                                          
 S2-39         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-106        unknown                                                                          
 S2-107        unknown                                                                          
 S2-5          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-108        unknown                                                                          
 S2-111        unknown                                                                          
 S2-110        unknown                                                                          
 S2-37         unknown                                                                          
 S2-34         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-112        unknown                                                                          
 S2-4          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-346        /g/ghez/align/17_04_25
 S2-116        unknown                                                                          
 S2-14         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-109        unknown                                                                          
 S2-117        unknown                                                                          
 S2-6          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-345        /g/ghez/align/17_04_25
 S2-119        unknown                                                                          
 S2-41         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-120        unknown                                                                          
 S2-122        unknown                                                                          
 S2-8          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-40         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-2          /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-43         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-118        unknown                                                                          
 S2-123        unknown                                                                          
 S2-124        unknown                                                                          
 S2-125        unknown                                                                          
 S2-128        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-126        unknown                                                                          
 S2-129        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 irs16SW-E     /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-127        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-44         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-130        unknown                                                                          
 S2-42         unknown                                                                          
 S2-132        unknown                                                                          
 S2-137        unknown                                                                          
 S2-133        unknown                                                                          
 S2-131        unknown                                                                          
 S2-135        unknown                                                                          
 S2-138        unknown                                                                          
 S2-45         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-136        unknown                                                                          
 S2-134        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-140        unknown                                                                          
 irs33N        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-142        unknown                                                                          
 S2-148        unknown                                                                          
 S2-143        unknown                                                                          
 S2-146        unknown                                                                          
 S2-47         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-149        unknown                                                                          
 S2-51         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-144        unknown                                                                          
 S2-50         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-159        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-46         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-150        unknown                                                                          
 S2-20         unknown                                                                          
 S2-151        unknown                                                                          
 S2-48         unknown                                                                          
 S2-156        unknown                                                                          
 S2-152        unknown                                                                          
 S2-154        unknown                                                                          
 S2-49         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-155        unknown                                                                          
 S2-157        unknown                                                                          
 S2-22         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-158        unknown                                                                          
 S2-17         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-162        unknown                                                                          
 S2-16         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-163        unknown                                                                          
 S2-167        unknown                                                                          
 S2-164        unknown                                                                          
 S2-21         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-166        unknown                                                                          
 S2-52         unknown                                                                          
 S2-19         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-161        unknown                                                                          
 S2-165        unknown                                                                          
 S2-168        unknown                                                                          
 S2-169        unknown                                                                          
 S2-170        unknown                                                                          
 S2-53         unknown                                                                          
 S2-171        unknown                                                                          
 S2-18         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-55         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-57         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-54         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-172        unknown                                                                          
 S2-173        unknown                                                                          
 S2-56         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-174        unknown                                                                          
 S2-176        unknown                                                                          
 S2-178        unknown                                                                          
 S2-175        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-23         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-179        unknown                                                                          
 S2-177        unknown                                                                          
 S2-180        unknown                                                                          
 S2-58         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-182        unknown                                                                          
 S2-181        unknown                                                                          
 S2-184        unknown                                                                          
 S2-185        unknown                                                                          
 S2-183        unknown                                                                          
 S2-186        unknown                                                                          
 S2-61         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-187        unknown                                                                          
 S2-190        unknown                                                                          
 S2-189        unknown                                                                          
 S2-26         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-59         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-191        unknown                                                                          
 S2-192        unknown                                                                          
 S2-188        unknown                                                                          
 S2-194        unknown                                                                          
 S2-193        unknown                                                                          
 S2-195        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-24         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-196        unknown                                                                          
 S2-197        unknown                                                                          
 S2-198        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-60         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-199        unknown                                                                          
 S2-201        unknown                                                                          
 S2-205        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-200        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-202        unknown                                                                          
 S2-25         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-62         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-203        unknown                                                                          
 S2-63         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-204        unknown                                                                          
 S2-207        unknown                                                                          
 S2-206        unknown                                                                          
 S2-209        unknown                                                                          
 S2-208        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-211        unknown                                                                          
 S2-213        unknown                                                                          
 S2-210        unknown                                                                          
 S2-212        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-215        unknown                                                                          
 S2-66         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-217        unknown                                                                          
 S2-65         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-216        unknown                                                                          
 S2-214        unknown                                                                          
 S2-220        unknown                                                                          
 S2-218        unknown                                                                          
 S2-219        /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-221        unknown                                                                          
 S2-64         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-222        unknown                                                                          
 S2-67         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-223        unknown                                                                          
 S2-226        unknown                                                                          
 S2-224        unknown                                                                          
 S2-225        unknown                                                                          
 S2-228        unknown                                                                          
 S2-227        unknown                                                                          
 S2-229        unknown                                                                          
 S2-234        unknown                                                                          
 S2-232        unknown                                                                          
 S2-230        unknown                                                                          
 S2-68         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-233        unknown                                                                          
 S2-231        unknown                                                                          
 S2-236        unknown                                                                          
 S2-235        unknown                                                                          
 S2-71         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-70         /g/lu/scratch/siyao/work/2_align/18_01_12_OldHolo/18Feb_abs/06only               
 S2-87         unknown                                                                          
 S2-238        unknown                                                                          
